APEX ID,Sl. No.,Land ID,9008 Store Code,NP01 Site Code,PD,Business Format,Format,Sub Format,PM Head,PM,PM Planner,Site Type,Zone,ZH,State,Cluster,EIC,Site Name,City,Area (Sqft),RFC Date,Actual Start Date,Standard Duration,Change Note / Site Specific Duration,Planned Finish Date,Forecasted Finish Date,Actual Finish Date,HOTO Date,Launch Date,LAUNCHED / YTL,FY,AOP / NON AOP,Planned (Month) Bucket,Actual (Month) Bucket
APEX10067,68,LAND20067,9008-30067,NP01-40067,PD1,Market,Wholesale,Express,Priya Sharma,Sanjay Nair,Arjun M,Expansion,East,ZH-E,Jharkhand,Jha-Cluster-3,EIC-244,Reliance Market Bhopal 2,Bhopal,12962,2024-08-17,2024-09-16,72,97,2024-11-27,2024-12-06,2024-11-27,2024-11-30,2024-12-05,LAUNCHED,FY25-26,NON AOP,Nov-24,Nov-24
APEX10068,69,LAND20068,9008-30068,NP01-40068,PD1,Market,Wholesale,Supermarket,Priya Sharma,Kavita Reddy,Mohan T,New,South,ZH-S,Karnataka,Kar-Cluster-1,EIC-240,Reliance Market Bhopal 3,Bhopal,6577,2024-11-26,2024-12-26,71,88,2025-03-07,2025-03-30,2025-03-19,2025-03-22,2025-03-24,LAUNCHED,FY24-25,NON AOP,Mar-25,Mar-25
APEX10069,70,LAND20069,9008-30069,NP01-40069,PD1,Market,Wholesale,Supermarket,Amit Patel,Pooja Iyer,Sneha P,Expansion,North,ZH-N,Delhi,Del-Cluster-3,EIC-343,Reliance Market Patna 3,Patna,16055,2024-05-24,2024-06-23,83,112,2024-09-14,2024-09-19,2024-09-14,2024-09-20,2024-09-24,LAUNCHED,FY25-26,NON AOP,Sep-24,Sep-24
APEX10070,71,LAND20070,9008-30070,NP01-40070,PD1,Fresh,Retail,Supermarket,Priya Sharma,Sanjay Nair,Sneha P,New,South,ZH-S,Tamil Nadu,Tam-Cluster-3,EIC-592,Reliance Fresh Kochi 8,Kochi,13663,2024-07-24,2024-08-23,159,173,2025-01-29,2025-04-07,,,,YTL,FY24-25,AOP,Jan-25,
APEX10071,72,LAND20071,9008-30071,NP01-40071,PD1,Market,Wholesale,Hypermarket,Rajesh Kumar,Neha Gupta,Mohan T,Relocation,East,ZH-E,West Bengal,Wes-Cluster-1,EIC-495,Reliance Market Jaipur 7,Jaipur,4174,2024-04-17,2024-05-17,176,180,2024-11-09,2024-11-20,2024-11-09,2024-11-10,2024-11-14,LAUNCHED,FY25-26,AOP,Nov-24,Nov-24
APEX10072,73,LAND20072,9008-30072,NP01-40072,PD2,Smart,Retail,Express,Rajesh Kumar,Rohit Verma,Kiran R,New,North,ZH-N,Haryana,Har-Cluster-2,EIC-320,Reliance Smart Jaipur 1,Jaipur,6399,2024-07-26,2024-08-25,177,197,2025-02-18,2025-02-22,2025-02-18,2025-02-25,2025-03-01,LAUNCHED,FY25-26,AOP,Feb-25,Feb-25
APEX10073,74,LAND20073,9008-30073,NP01-40073,PD3,Smart,Retail,Hypermarket,Priya Sharma,Anjali Mehta,Arjun M,New,East,ZH-E,Odisha,Odi-Cluster-2,EIC-539,Reliance Smart Chandigarh 8,Chandigarh,1551,2024-04-03,2024-05-03,74,95,2024-07-16,2024-07-16,2024-07-16,2024-07-22,2024-07-27,LAUNCHED,FY25-26,AOP,Jul-24,Jul-24
APEX10074,75,LAND20074,9008-30074,NP01-40074,PD2,Market,Wholesale,Express,Rajesh Kumar,Rohit Verma,Arjun M,Expansion,Central,ZH-C,Chhattisgarh,Chh-Cluster-2,EIC-482,Reliance Market Nagpur 2,Nagpur,9811,2024-11-26,2024-12-26,129,151,2025-05-04,2025-05-04,,,,YTL,FY24-25,NON AOP,May-25,
APEX10075,76,LAND20075,9008-30075,NP01-40075,PD3,Market,Wholesale,Hypermarket,Rajesh Kumar,Rohit Verma,Arjun M,New,North,ZH-N,Haryana,Har-Cluster-1,EIC-164,Reliance Market Bhopal 3,Bhopal,16497,2024-03-24,2024-04-23,105,129,2024-08-06,2024-11-11,2024-11-06,2024-11-13,2024-11-17,LAUNCHED,FY24-25,NON AOP,Aug-24,Nov-24
APEX10076,77,LAND20076,9008-30076,NP01-40076,PD2,Fresh,Wholesale,Express,Rajesh Kumar,Vikram Singh,Kiran R,Expansion,South,ZH-S,Karnataka,Kar-Cluster-2,EIC-379,Reliance Fresh Indore 7,Indore,5578,2024-12-05,2025-01-04,120,126,2025-05-04,2025-08-10,,,,YTL,FY25-26,NON AOP,May-25,
APEX10077,78,LAND20077,9008-30077,NP01-40077,PD1,Fresh,Wholesale,Supermarket,Priya Sharma,Sanjay Nair,Sneha P,New,West,ZH-W,Goa,Goa-Cluster-1,EIC-435,Reliance Fresh Bhubaneswar 6,Bhubaneswar,11187,2024-11-22,2024-12-22,94,89,2025-03-26,2025-03-28,2025-03-26,2025-03-30,2025-04-04,LAUNCHED,FY25-26,NON AOP,Mar-25,Mar-25
APEX10078,79,LAND20078,9008-30078,NP01-40078,PD2,Fresh,Retail,Express,Priya Sharma,Anjali Mehta,Mohan T,New,Central,ZH-C,Telangana,Tel-Cluster-3,EIC-794,Reliance Fresh Kochi 1,Kochi,15858,2024-08-29,2024-09-28,138,155,2025-02-13,2025-03-04,2025-03-02,2025-03-08,2025-03-12,LAUNCHED,FY24-25,AOP,Feb-25,Mar-25
APEX10079,80,LAND20079,9008-30079,NP01-40079,PD2,Fresh,Wholesale,Hypermarket,Amit Patel,Pooja Iyer,Kiran R,Relocation,North,ZH-N,Punjab,Pun-Cluster-1,EIC-216,Reliance Fresh Pune 3,Pune,2349,2024-10-18,2024-11-17,107,120,2025-03-04,2025-03-27,2025-03-23,2025-03-28,2025-03-31,LAUNCHED,FY24-25,NON AOP,Mar-25,Mar-25
APEX10080,81,LAND20080,9008-30080,NP01-40080,PD2,Fresh,Retail,Hypermarket,Amit Patel,Rahul Joshi,Kiran R,Relocation,Central,ZH-C,Chhattisgarh,Chh-Cluster-1,EIC-929,Reliance Fresh Kochi 4,Kochi,11972,2025-01-09,2025-02-08,96,117,2025-05-15,2025-06-13,,,,YTL,FY25-26,AOP,May-25,
APEX10081,82,LAND20081,9008-30081,NP01-40081,PD1,Market,Wholesale,Hypermarket,Priya Sharma,Sanjay Nair,Sneha P,Expansion,Central,ZH-C,Telangana,Tel-Cluster-2,EIC-578,Reliance Market Lucknow 6,Lucknow,5752,2024-11-17,2024-12-17,88,85,2025-03-15,2025-03-19,2025-03-15,2025-03-17,2025-03-21,LAUNCHED,FY24-25,AOP,Mar-25,Mar-25
APEX10082,83,LAND20082,9008-30082,NP01-40082,PD3,Market,Wholesale,Express,Amit Patel,Deepak Shah,Mohan T,Expansion,East,ZH-E,Jharkhand,Jha-Cluster-3,EIC-701,Reliance Market Chandigarh 7,Chandigarh,7462,2024-12-21,2025-01-20,69,67,2025-03-30,2025-04-01,2025-03-30,2025-04-03,2025-04-07,LAUNCHED,FY24-25,NON AOP,Mar-25,Mar-25
APEX10083,84,LAND20083,9008-30083,NP01-40083,PD1,Fresh,Wholesale,Express,Rajesh Kumar,Rohit Verma,Sneha P,Expansion,Central,ZH-C,Madhya Pradesh,Mad-Cluster-3,EIC-381,Reliance Fresh Lucknow 3,Lucknow,5601,2024-08-14,2024-09-13,179,183,2025-03-11,2025-06-04,,,,YTL,FY25-26,AOP,Mar-25,
APEX10084,85,LAND20084,9008-30084,NP01-40084,PD3,Smart,Wholesale,Hypermarket,Rajesh Kumar,Rohit Verma,Sneha P,Expansion,Central,ZH-C,Telangana,Tel-Cluster-1,EIC-609,Reliance Smart Bhopal 1,Bhopal,10991,2024-03-16,2024-04-15,70,62,2024-06-24,2024-07-02,2024-06-24,2024-06-30,2024-07-02,LAUNCHED,FY25-26,NON AOP,Jun-24,Jun-24
APEX10085,86,LAND20085,9008-30085,NP01-40085,PD2,Market,Wholesale,Hypermarket,Priya Sharma,Sanjay Nair,Arjun M,Relocation,South,ZH-S,Kerala,Ker-Cluster-2,EIC-233,Reliance Market Pune 3,Pune,13641,2024-10-13,2024-11-12,113,133,2025-03-05,2025-05-01,,,,YTL,FY24-25,NON AOP,Mar-25,
APEX10086,87,LAND20086,9008-30086,NP01-40086,PD2,Smart,Wholesale,Express,Rajesh Kumar,Neha Gupta,Mohan T,New,South,ZH-S,Kerala,Ker-Cluster-2,EIC-627,Reliance Smart Jaipur 2,Jaipur,16796,2024-03-27,2024-04-26,97,111,2024-08-01,2024-08-14,2024-08-01,2024-08-03,2024-08-05,LAUNCHED,FY25-26,NON AOP,Aug-24,Aug-24
APEX10087,88,LAND20087,9008-30087,NP01-40087,PD1,Smart,Retail,Supermarket,Rajesh Kumar,Neha Gupta,Mohan T,New,West,ZH-W,Maharashtra,Mah-Cluster-2,EIC-844,Reliance Smart Bengaluru 6,Bengaluru,13485,2024-03-26,2024-04-25,66,74,2024-06-30,2024-10-16,2024-10-01,2024-10-04,2024-10-09,LAUNCHED,FY25-26,NON AOP,Jun-24,Oct-24
APEX10088,89,LAND20088,9008-30088,NP01-40088,PD3,Fresh,Retail,Express,Rajesh Kumar,Rohit Verma,Sneha P,New,North,ZH-N,Uttar Pradesh,Utt-Cluster-2,EIC-482,Reliance Fresh Vadodara 5,Vadodara,12611,2024-04-08,2024-05-08,109,131,2024-08-25,2024-11-21,2024-11-13,2024-11-20,2024-11-25,LAUNCHED,FY25-26,AOP,Aug-24,Nov-24
APEX10089,90,LAND20089,9008-30089,NP01-40089,PD2,Smart,Wholesale,Express,Amit Patel,Rahul Joshi,Arjun M,Relocation,South,ZH-S,Kerala,Ker-Cluster-3,EIC-857,Reliance Smart Jaipur 6,Jaipur,11305,2024-10-30,2024-11-29,126,145,2025-04-04,2025-06-22,,,,YTL,FY25-26,NON AOP,Apr-25,
APEX10090,91,LAND20090,9008-30090,NP01-40090,PD3,Fresh,Retail,Hypermarket,Priya Sharma,Anjali Mehta,Kiran R,New,Central,ZH-C,Chhattisgarh,Chh-Cluster-3,EIC-591,Reliance Fresh Ahmedabad 7,Ahmedabad,7087,2024-12-25,2025-01-24,99,129,2025-05-03,2025-07-20,,,,YTL,FY25-26,AOP,May-25,
APEX10091,92,LAND20091,9008-30091,NP01-40091,PD2,Smart,Retail,Hypermarket,Amit Patel,Deepak Shah,Arjun M,New,South,ZH-S,Karnataka,Kar-Cluster-3,EIC-312,Reliance Smart Mumbai 8,Mumbai,12151,2024-08-09,2024-09-08,113,112,2024-12-30,2025-02-17,2025-02-04,2025-02-09,2025-02-14,LAUNCHED,FY25-26,NON AOP,Dec-24,Feb-25
APEX10092,93,LAND20092,9008-30092,NP01-40092,PD3,Market,Wholesale,Express,Priya Sharma,Kavita Reddy,Kiran R,Relocation,East,ZH-E,Odisha,Odi-Cluster-2,EIC-821,Reliance Market Nagpur 5,Nagpur,8292,2025-01-08,2025-02-07,121,123,2025-06-08,2025-06-16,,,,YTL,FY25-26,NON AOP,Jun-25,
APEX10093,94,LAND20093,9008-30093,NP01-40093,PD2,Fresh,Retail,Supermarket,Amit Patel,Deepak Shah,Kiran R,Expansion,West,ZH-W,Rajasthan,Raj-Cluster-1,EIC-454,Reliance Fresh Ahmedabad 9,Ahmedabad,15995,2024-09-12,2024-10-12,174,189,2025-04-04,2025-04-08,,,,YTL,FY25-26,NON AOP,Apr-25,
APEX10094,95,LAND20094,9008-30094,NP01-40094,PD2,Smart,Wholesale,Express,Amit Patel,Pooja Iyer,Kiran R,Expansion,South,ZH-S,Tamil Nadu,Tam-Cluster-1,EIC-105,Reliance Smart Ahmedabad 4,Ahmedabad,6675,2024-07-04,2024-08-03,66,89,2024-10-08,2024-11-17,2024-11-16,2024-11-17,2024-11-21,LAUNCHED,FY25-26,NON AOP,Oct-24,Nov-24
APEX10095,96,LAND20095,9008-30095,NP01-40095,PD1,Market,Wholesale,Express,Priya Sharma,Sanjay Nair,Kiran R,New,West,ZH-W,Gujarat,Guj-Cluster-2,EIC-906,Reliance Market Pune 2,Pune,17732,2024-12-20,2025-01-19,89,113,2025-04-18,2025-04-19,,,,YTL,FY24-25,NON AOP,Apr-25,
APEX10096,97,LAND20096,9008-30096,NP01-40096,PD2,Fresh,Retail,Express,Priya Sharma,Kavita Reddy,Arjun M,Relocation,North,ZH-N,Delhi,Del-Cluster-1,EIC-848,Reliance Fresh Kolkata 8,Kolkata,16537,2025-01-24,2025-02-23,129,152,2025-07-02,2025-08-12,,,,YTL,FY25-26,AOP,Jul-25,
APEX10097,98,LAND20097,9008-30097,NP01-40097,PD1,Smart,Wholesale,Supermarket,Priya Sharma,Kavita Reddy,Sneha P,New,North,ZH-N,Haryana,Har-Cluster-1,EIC-367,Reliance Smart Patna 7,Patna,14068,2024-11-20,2024-12-20,101,96,2025-03-31,2025-04-27,,,,YTL,FY24-25,NON AOP,Mar-25,
APEX10098,99,LAND20098,9008-30098,NP01-40098,PD3,Fresh,Wholesale,Hypermarket,Priya Sharma,Kavita Reddy,Arjun M,New,East,ZH-E,Bihar,Bih-Cluster-3,EIC-402,Reliance Fresh Nagpur 4,Nagpur,13543,2024-04-02,2024-05-02,145,142,2024-09-24,2024-11-05,2024-10-24,2024-10-30,2024-11-04,LAUNCHED,FY24-25,AOP,Sep-24,Oct-24
APEX10099,100,LAND20099,9008-30099,NP01-40099,PD3,Fresh,Wholesale,Hypermarket,Rajesh Kumar,Neha Gupta,Kiran R,Expansion,South,ZH-S,Kerala,Ker-Cluster-2,EIC-179,Reliance Fresh Vadodara 8,Vadodara,5176,2024-12-02,2025-01-01,162,165,2025-06-12,2025-06-14,,,,YTL,FY24-25,AOP,Jun-25,
APEX10100,101,LAND20100,9008-30100,NP01-40100,PD2,Market,Retail,Hypermarket,Rajesh Kumar,Vikram Singh,Kiran R,Relocation,Central,ZH-C,Telangana,Tel-Cluster-2,EIC-677,Reliance Market Kochi 2,Kochi,3391,2024-06-15,2024-07-15,151,178,2024-12-13,2025-03-12,2025-02-26,2025-03-05,2025-03-06,LAUNCHED,FY25-26,NON AOP,Dec-24,Feb-25
APEX10101,102,LAND20101,9008-30101,NP01-40101,PD2,Market,Wholesale,Express,Priya Sharma,Anjali Mehta,Sneha P,New,North,ZH-N,Uttar Pradesh,Utt-Cluster-3,EIC-846,Reliance Market Surat 1,Surat,15274,2024-10-04,2024-11-03,104,98,2025-02-15,2025-03-06,2025-03-04,2025-03-08,2025-03-09,LAUNCHED,FY25-26,NON AOP,Feb-25,Mar-25
APEX10102,103,LAND20102,9008-30102,NP01-40102,PD2,Market,Wholesale,Hypermarket,Priya Sharma,Anjali Mehta,Sneha P,Expansion,West,ZH-W,Goa,Goa-Cluster-3,EIC-534,Reliance Market Nagpur 2,Nagpur,13928,2024-06-01,2024-07-01,128,143,2024-11-06,2024-12-14,2024-12-14,2024-12-21,2024-12-22,LAUNCHED,FY24-25,AOP,Nov-24,Dec-24
APEX10103,104,LAND20103,9008-30103,NP01-40103,PD3,Market,Retail,Supermarket,Rajesh Kumar,Neha Gupta,Sneha P,Expansion,West,ZH-W,Rajasthan,Raj-Cluster-3,EIC-820,Reliance Market Ahmedabad 1,Ahmedabad,3095,2024-10-02,2024-11-01,138,129,2025-03-19,2025-04-09,,,,YTL,FY24-25,AOP,Mar-25,
APEX10104,105,LAND20104,9008-30104,NP01-40104,PD1,Smart,Retail,Supermarket,Rajesh Kumar,Rohit Verma,Sneha P,Relocation,West,ZH-W,Goa,Goa-Cluster-2,EIC-162,Reliance Smart Jaipur 9,Jaipur,7238,2024-07-28,2024-08-27,89,115,2024-11-24,2025-02-28,2025-02-18,2025-02-20,2025-02-23,LAUNCHED,FY25-26,NON AOP,Nov-24,Feb-25
APEX10105,106,LAND20105,9008-30105,NP01-40105,PD1,Market,Retail,Supermarket,Amit Patel,Deepak Shah,Mohan T,Expansion,North,ZH-N,Haryana,Har-Cluster-1,EIC-925,Reliance Market Bhopal 7,Bhopal,16672,2024-09-27,2024-10-27,79,88,2025-01-14,2025-04-17,,,,YTL,FY24-25,NON AOP,Jan-25,
APEX10106,107,LAND20106,9008-30106,NP01-40106,PD2,Smart,Wholesale,Hypermarket,Priya Sharma,Anjali Mehta,Kiran R,Expansion,West,ZH-W,Gujarat,Guj-Cluster-3,EIC-140,Reliance Smart Bhopal 2,Bhopal,3884,2024-10-18,2024-11-17,168,181,2025-05-04,2025-06-08,,,,YTL,FY24-25,AOP,May-25,
APEX10107,108,LAND20107,9008-30107,NP01-40107,PD2,Smart,Retail,Hypermarket,Priya Sharma,Sanjay Nair,Arjun M,Relocation,West,ZH-W,Gujarat,Guj-Cluster-2,EIC-489,Reliance Smart Bengaluru 2,Bengaluru,16778,2024-11-02,2024-12-02,177,182,2025-05-28,2025-06-03,,,,YTL,FY25-26,NON AOP,May-25,
APEX10108,109,LAND20108,9008-30108,NP01-40108,PD1,Smart,Wholesale,Hypermarket,Amit Patel,Pooja Iyer,Mohan T,Expansion,East,ZH-E,Bihar,Bih-Cluster-3,EIC-837,Reliance Smart Bhubaneswar 6,Bhubaneswar,15183,2024-06-14,2024-07-14,107,117,2024-10-29,2025-01-26,2025-01-19,2025-01-25,2025-01-27,LAUNCHED,FY25-26,AOP,Oct-24,Jan-25
APEX10109,110,LAND20109,9008-30109,NP01-40109,PD3,Fresh,Wholesale,Express,Rajesh Kumar,Neha Gupta,Sneha P,New,South,ZH-S,Andhra Pradesh,And-Cluster-3,EIC-659,Reliance Fresh Vadodara 6,Vadodara,17501,2024-07-11,2024-08-10,157,178,2025-01-14,2025-01-29,2025-01-14,2025-01-18,2025-01-20,LAUNCHED,FY24-25,AOP,Jan-25,Jan-25
APEX10110,111,LAND20110,9008-30110,NP01-40110,PD1,Smart,Wholesale,Supermarket,Rajesh Kumar,Rohit Verma,Arjun M,New,Central,ZH-C,Madhya Pradesh,Mad-Cluster-3,EIC-753,Reliance Smart Chandigarh 3,Chandigarh,17333,2025-01-18,2025-02-17,89,83,2025-05-17,2025-05-17,,,,YTL,FY25-26,AOP,May-25,
APEX10111,112,LAND20111,9008-30111,NP01-40111,PD1,Market,Retail,Hypermarket,Rajesh Kumar,Vikram Singh,Kiran R,New,North,ZH-N,Uttar Pradesh,Utt-Cluster-1,EIC-296,Reliance Market Kolkata 1,Kolkata,9771,2024-11-14,2024-12-14,164,181,2025-05-27,2025-06-01,,,,YTL,FY25-26,NON AOP,May-25,
APEX10112,113,LAND20112,9008-30112,NP01-40112,PD2,Market,Wholesale,Hypermarket,Priya Sharma,Sanjay Nair,Mohan T,Relocation,West,ZH-W,Maharashtra,Mah-Cluster-1,EIC-752,Reliance Market Chennai 4,Chennai,1809,2024-08-02,2024-09-01,147,142,2025-01-26,2025-01-27,2025-01-26,2025-01-27,2025-01-31,LAUNCHED,FY24-25,AOP,Jan-25,Jan-25
APEX10113,114,LAND20113,9008-30113,NP01-40113,PD3,Market,Retail,Express,Amit Patel,Pooja Iyer,Arjun M,Relocation,West,ZH-W,Goa,Goa-Cluster-1,EIC-312,Reliance Market Pune 4,Pune,6224,2024-06-18,2024-07-18,175,201,2025-01-09,2025-01-26,2025-01-24,2025-01-30,2025-02-02,LAUNCHED,FY25-26,AOP,Jan-25,Jan-25
APEX10114,115,LAND20114,9008-30114,NP01-40114,PD1,Market,Retail,Supermarket,Amit Patel,Rahul Joshi,Mohan T,New,East,ZH-E,Odisha,Odi-Cluster-1,EIC-448,Reliance Market Vadodara 6,Vadodara,14499,2024-09-14,2024-10-14,156,154,2025-03-19,2025-03-21,2025-03-19,2025-03-24,2025-03-27,LAUNCHED,FY25-26,AOP,Mar-25,Mar-25
APEX10115,116,LAND20115,9008-30115,NP01-40115,PD2,Market,Retail,Hypermarket,Priya Sharma,Anjali Mehta,Kiran R,New,East,ZH-E,Jharkhand,Jha-Cluster-1,EIC-374,Reliance Market Patna 7,Patna,6553,2024-06-05,2024-07-05,147,174,2024-11-29,2024-12-01,2024-11-29,2024-12-06,2024-12-11,LAUNCHED,FY25-26,AOP,Nov-24,Nov-24
APEX10116,117,LAND20116,9008-30116,NP01-40116,PD3,Smart,Wholesale,Express,Priya Sharma,Anjali Mehta,Arjun M,New,West,ZH-W,Rajasthan,Raj-Cluster-1,EIC-462,Reliance Smart Kolkata 8,Kolkata,4549,2024-09-02,2024-10-02,157,164,2025-03-08,2025-04-03,2025-03-29,2025-04-02,2025-04-06,LAUNCHED,FY25-26,NON AOP,Mar-25,Mar-25
APEX10117,118,LAND20117,9008-30117,NP01-40117,PD1,Market,Wholesale,Supermarket,Priya Sharma,Sanjay Nair,Arjun M,Relocation,North,ZH-N,Haryana,Har-Cluster-2,EIC-249,Reliance Market Vadodara 4,Vadodara,3573,2024-12-19,2025-01-18,126,126,2025-05-24,2025-05-29,,,,YTL,FY24-25,NON AOP,May-25,
APEX10118,119,LAND20118,9008-30118,NP01-40118,PD1,Fresh,Retail,Supermarket,Priya Sharma,Sanjay Nair,Arjun M,New,East,ZH-E,Jharkhand,Jha-Cluster-2,EIC-440,Reliance Fresh Hyderabad 4,Hyderabad,13948,2025-01-16,2025-02-15,123,151,2025-06-18,2025-07-02,,,,YTL,FY25-26,NON AOP,Jun-25,
APEX10119,120,LAND20119,9008-30119,NP01-40119,PD3,Fresh,Retail,Supermarket,Amit Patel,Deepak Shah,Sneha P,Relocation,East,ZH-E,Jharkhand,Jha-Cluster-2,EIC-936,Reliance Fresh Bhopal 4,Bhopal,14375,2024-11-02,2024-12-02,100,101,2025-03-12,2025-03-22,2025-03-12,2025-03-15,2025-03-19,LAUNCHED,FY25-26,AOP,Mar-25,Mar-25
